CHEMBL_ID,Molecular Weight,SMILES,Standard Type,Standard Relation,STANDARD_VALUE,Standard Units,STANDARD_VALUE_LN,STANDARD_VALUE_LOG,TYPE,TYPE_LABEL,AlogP,NumHAcceptors,NumHDonors,NumRotatableBonds,FractionCSP3,TPSA,LogP_WildmanCrippen
CHEMBL4086113,517.55,Cc1[nH]nc2c1C(c1cc(N3CCC(CCC(=O)O)CC3)cc(C(F)(F)F)c1)(C(C)C)C(C#N)=C(N)O2,T1/2,'=',0.2,hr,-1.609437912,-0.698970004,unstable,0,4.85,7,3,10,0.5,128.26,4.8465
CHEMBL399836,515.57,NC(=O)COc1ccc2c(c1)S(=O)(=O)N=C(c1c(O)c(-c3cccs3)nn(CCC3CC3)c1=O)N2,T1/2,'=',0.2,hr,-1.609437912,-0.698970004,unstable,0,1.9,10,3,9,0.272727273,165.97,1.9026
CHEMBL601434,514.67,CC(C)OC(=O)C1=CN(C(=O)c2cccc(CN3CCN(C)CC3)c2)CC(C)(C)c2c1[nH]c1ccccc21,T1/2,'=',0.2,hr,-1.609437912,-0.698970004,unstable,0,4.64,5,1,10,0.419354839,68.88,4.6414
CHEMBL2431621,514.51,O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(-c2cc(F)ccc2F)cc1F,T1/2,'=',0.2,hr,-1.609437912,-0.698970004,unstable,0,5.63,3,3,7,0.068965517,86.88,5.627
CHEMBL393169,482.02,OCC1(NCCCC2CCc3ccc(OCc4noc(-c5ccc(Cl)cc5)n4)cc32)CCCC1,T1/2,'=',0.2,hr,-1.609437912,-0.698970004,unstable,0,5.67,6,2,11,0.481481481,80.41,5.6737
CHEMBL2431633,481.33,O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(Br)cc1F,T1/2,'=',0.2,hr,-1.609437912,-0.698970004,unstable,0,4.44,3,3,6,0.086956522,86.88,4.4443
CHEMBL207220,464.68,CC(=O)Nc1cccc(N2CCN(CCCCN(C)S(=O)(=O)CC3CCCCC3)CC2)c1,T1/2,'=',0.2,hr,-1.609437912,-0.698970004,unstable,0,3.39,5,1,12,0.708333333,72.96,3.3891
CHEMBL393168,462.57,Fc1ccccc1-c1nc(COc2ccc3c(c2)C(N2CCN(C4CCCC4)CC2)CC3)no1,T1/2,'=',0.2,hr,-1.609437912,-0.698970004,unstable,0,5.0,6,0,6,0.481481481,54.63,5.0022
CHEMBL3092019,451.42,Cc1ccc(S(=O)(=O)Nc2ccc(Oc3ccccc3C(F)(F)F)cc2C(=O)O)cc1,T1/2,'=',0.2,hr,-1.609437912,-0.698970004,unstable,0,5.31,5,2,7,0.095238095,92.7,5.30512
CHEMBL402743,444.54,CC(C)CCn1nc(-c2cccs2)c(O)c(C2=NS(=O)(=O)c3ccccc3N2)c1=O,T1/2,'=',0.2,hr,-1.609437912,-0.698970004,unstable,0,3.28,8,2,8,0.25,113.65,3.2845
CHEMBL250036,440.61,CCN(C(=O)Nc1ccc(C(C)C)cc1)C1Cc2ccc(SC(C)(C)C(=O)O)cc2C1,T1/2,'=',0.2,hr,-1.609437912,-0.698970004,unstable,0,5.79,4,2,12,0.44,69.64,5.7865
CHEMBL570360,433.53,COc1ccc(CCCN2C(=O)N(NS(C)(=O)=O)C[C@H]2c2ccc(OC)cc2)cc1,T1/2,'=',0.2,hr,-1.609437912,-0.698970004,unstable,0,2.58,5,1,12,0.380952381,88.18,2.5795
CHEMBL134915,421.46,COc1ccc(S(=O)(=O)Nc2nc(-c3cccc([N+](=O)[O-])c3)cs2)cc1OC,T1/2,'=',0.2,hr,-1.609437912,-0.698970004,unstable,0,3.54,8,1,9,0.117647059,120.66,3.5363
CHEMBL3421923,406.96,Clc1ccc2c(/N=C(\NCCCN3CCCCC3)c3ccccc3)ccnc2c1,T1/2,'=',0.2,hr,-1.609437912,-0.698970004,unstable,0,5.43,3,1,6,0.333333333,40.52,5.4321
CHEMBL3758639,404.47,Cc1cc(-c2ccc(CC(=O)Nc3ccc4c(c3)C(=O)c3ccccc3-4)cc2)ccn1,T1/2,'=',0.2,hr,-1.609437912,-0.698970004,unstable,0,5.45,3,1,5,0.074074074,59.06,5.44962
CHEMBL2431650,402.43,O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccccc1F,T1/2,'=',0.2,hr,-1.609437912,-0.698970004,unstable,0,3.68,3,3,6,0.086956522,86.88,3.6818
CHEMBL1209693,397.93,COC(C)(C)CC1n2cncc2CN([C@@H](C)c2ccc(Cl)cc2)S1(=O)=O,T1/2,'=',0.2,hr,-1.609437912,-0.698970004,unstable,0,3.76,5,0,9,0.5,64.43,3.7568
CHEMBL1087837,373.95,CCCN(CCCNc1ccnc2cc(Cl)ccc12)Cc1ccsc1,T1/2,'=',0.2,hr,-1.609437912,-0.698970004,unstable,0,5.66,4,1,10,0.35,28.16,5.6639
CHEMBL206278,369.51,C=CCSCC1=CC(C)(C)Nc2ccc(-c3cc(F)ccc3OC)cc21,T1/2,'=',0.2,hr,-1.609437912,-0.698970004,unstable,0,6.01,3,1,9,0.272727273,21.26,6.008
CHEMBL563216,352.38,O=C(NCCC(c1ccc(F)cc1)c1ccc(F)cc1)c1cccnc1,T1/2,'=',0.2,hr,-1.609437912,-0.698970004,unstable,0,4.31,2,1,6,0.142857143,41.99,4.3118
CHEMBL108438,311.38,NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)Cc1ccccc1,T1/2,'=',0.2,hr,-1.609437912,-0.698970004,unstable,0,0.77,3,3,8,0.222222222,98.21,0.7692
CHEMBL1630770,230.31,CN(c1ncnc2[nH]ccc12)C1CCCCC1,T1/2,'=',0.2,hr,-1.609437912,-0.698970004,unstable,0,2.73,3,1,3,0.538461538,44.81,2.7268
