,epoch,train_RMSE,valid_RMSE,test_RMSE,t1/2_difference,train_r2,valid_r2,test_r2
17,18,0.17269099048902514,0.21274650079087767,0.8265433226864974,0.36858039541611165,0.9845813897038853,0.972974900614591,0.6482267247466442
18,19,0.20746653796466646,0.24491520949597417,0.8173205511059154,0.3351363659350488,0.9761795061100063,0.9612660008459757,0.6561104367241964
19,20,0.15975303663407442,0.2002179100015246,0.8079230420787289,0.34407048905846876,0.9872118875977283,0.9764257498228842,0.663962340490189
20,21,0.20245873649501042,0.23593428495973034,0.8253531540419287,0.3323020927976268,0.976073639208672,0.9637072963541673,0.6491758809616244
21,22,0.15734291451249216,0.1962056758910808,0.813038585115579,0.3400915829690479,0.9871440097107795,0.979437704204224,0.6596319867971541
22,23,0.171321899040063,0.19864129152206256,0.8103153731774858,0.3487973417609585,0.9845182972852738,0.9779530694890628,0.6619173772556372
23,24,0.1507557308922306,0.1698688250828024,0.7948560517799771,0.336869551113507,0.9884887066974228,0.9838356056781011,0.674762075324985
24,25,0.16078515232636598,0.1874897593378199,0.8015755554485,0.3463488923802345,0.9859785265575102,0.9755933786114825,0.6691150544757257
25,26,0.1623777539648184,0.19163431177064727,0.8173369852326564,0.34346256215439525,0.9858115785595485,0.9789129938376716,0.6560082762780233
26,27,0.15275712222155358,0.1893937042820853,0.8146260753174589,0.3592358597129323,0.9871504972309451,0.9800831065630563,0.6583619294559682
27,28,0.1464496279109521,0.16433818867100414,0.8128438229089614,0.3514206384458775,0.9885760322756912,0.9848809806388006,0.659859908135467
28,29,0.13616772579769226,0.1621461023445641,0.8142488030986345,0.347377413198562,0.9905486494585197,0.9853195799056467,0.6587220847433766
29,30,0.13203148946469376,0.15242002802504556,0.8016683687282559,0.35253113787455004,0.9908988629168984,0.9871208384429571,0.6691320555929515
30,31,0.14436392769499184,0.17545057655496143,0.819659260727088,0.3521870484570617,0.9884556643168791,0.9836375178191373,0.6540816644462089
31,32,0.1340256038469981,0.1598987880011298,0.8125953591657533,0.355782651045058,0.9903878476180921,0.9854473176896054,0.6601030020043417
32,33,0.11906550894684872,0.14510077236878582,0.8110356194305114,0.36946555725041247,0.9928159701536506,0.9883721490073836,0.661418584241038
33,34,0.12509667775398198,0.146023914293121,0.8063444430826294,0.3571259428116754,0.9919951410239065,0.9879347741039354,0.6653061248715613
34,35,0.12302185112607955,0.1533574232980434,0.7997063038170518,0.36019122497624323,0.992153606062374,0.9865977234853018,0.6708032195890038
35,36,0.11736180923861965,0.14677364958840428,0.8017494706418912,0.35498088446935816,0.9930472151019044,0.98733662910741,0.6691073999363816
36,37,0.12620752816229258,0.1489622600383878,0.7983293697378171,0.34993825286315694,0.9917112937194178,0.9878413658673099,0.6718854921109491
37,38,0.12261720822524654,0.14877746475387194,0.7902959291140407,0.3485253560059684,0.9923009678604957,0.9873575641653101,0.6784962389669564
38,39,0.11853592232726211,0.1413227246303473,0.7968778259151403,0.34135814755180316,0.9927892378128854,0.9891942726619967,0.6731166219024122
39,40,0.12428273834129558,0.14123099536026745,0.8021494347832606,0.36727744039018034,0.992003573775003,0.9888029429639072,0.6687727621711753
40,41,0.12080008556550245,0.14356645134434148,0.8057745975496206,0.3500505406164339,0.9925365497479893,0.988570520205206,0.6657830721153944
41,42,0.11554615680657791,0.12775208579182398,0.8084080980375383,0.34911184262082223,0.9932250327423494,0.9908802628181895,0.6635761151150597
42,43,0.11457416684533932,0.1279419159350685,0.8037523327042972,0.345108169770764,0.9933725609222248,0.9904851622148627,0.6674512944746543
43,44,0.11125044683391638,0.13296636620543165,0.8051426073868827,0.34763890967337924,0.9937616825550615,0.9901260094334143,0.6663086891502756
44,45,0.1132251056163149,0.12560296042516036,0.8028287142557335,0.34515737824097675,0.9935518934821446,0.9909308814740492,0.668231918615209
45,46,0.11466296452946619,0.12816579552338098,0.8085137681083696,0.33333341314354836,0.9933382919884393,0.990485838692298,0.6635032227418043
46,47,0.1236779670662016,0.1405143421169355,0.8191862344679832,0.3707504602595869,0.9919311540147907,0.9889210506662659,0.6545416686598278
